Year,name,NewVac,NewSee,Vac,See,Hir,Month,Period
2015,10,572935,329884,1489186,1326904,99860,10,Oct 2015
2015,11,490245,275273,1472898,1278572,89518,11,Nov 2015
2015,12,472750,266148,1425335,1227521,80679,12,Dec 2015
2016,1,583607,343747,1462822,1250427,76034,1,Jan 2016
2016,2,568498,353967,1542419,1301661,96658,2,Feb 2016
2016,3,535539,357357,1565912,1360030,122343,3,Mar 2016
2016,4,531119,380002,1492172,1377672,103843,4,Apr 2016
2016,5,503452,310049,1448728,1334543,94726,5,May 2016
2016,6,538620,303917,1471220,1294581,97121,6,Jun 2016
2016,7,536397,281718,1472540,1254758,86913,7,Jul 2016
2016,8,531861,289066,1502511,1243505,85440,8,Aug 2016
2016,9,562852,292261,1537927,1232642,92007,9,Sep 2016
2016,10,566063,289370,1561837,1223965,90423,10,Oct 2016
2016,11,529959,265038,1557216,1185827,85505,11,Nov 2016
2016,12,510369,244295,1511850,1130862,75706,12,Dec 2016
2017,1,599803,334889,1558142,1173907,73031,1,Jan 2017
2017,2,589069,320703,1622916,1210229,89669,2,Feb 2017
2017,3,572583,339736,1656670,1272742,114586,3,Mar 2017
2017,4,551844,354409,1586590,1282964,96941,4,Apr 2017
2017,5,541335,295667,1557088,1253635,91234,5,May 2017
2017,6,578416,283756,1579814,1212200,91875,6,Jun 2017
2017,7,557935,264293,1579723,1174210,82328,7,Jul 2017
2017,8,570341,276009,1612953,1168281,80897,8,Aug 2017
2017,9,602056,273837,1649261,1159166,87036,9,Sep 2017
2017,10,605893,275104,1688284,1157912,88284,10,Oct 2017
2017,11,562182,249927,1675246,1118151,80571,11,Nov 2017
2017,12,562558,232201,1642814,1069562,72961,12,Dec 2017
2018,1,615272,305705,1663209,1096691,67873,1,Jan 2018
2018,2,599996,291929,1708810,1123653,81682,2,Feb 2018
2018,3,592856,311333,1723732,1180028,104929,3,Mar 2018
2018,4,576562,338330,1662860,1205696,91953,4,Apr 2018
2018,5,579273,284347,1649847,1190492,88303,5,May 2018
2018,6,583829,252530,1651121,1136342,82226,6,Jun 2018
2018,7,578433,253342,1656561,1107087,78133,7,Jul 2018
2018,8,591706,258974,1673893,1098495,74770,8,Aug 2018
2018,9,566799,230982,1662653,1071301,73477,9,Sep 2018
2018,10,633767,277486,1718590,1099891,83564,10,Oct 2018
2018,11,579818,240255,1704651,1071218,76004,11,Nov 2018
2018,12,532727,213943,1661843,1030082,66078,12,Dec 2018
2019,1,633270,297218,1680363,1061117,62950,1,Jan 2019
2019,2,611793,277951,1721078,1088361,76671,2,Feb 2019
2019,3,562093,283016,1724007,1130743,93815,3,Mar 2019
2019,4,574600,322842,1657830,1160653,83383,4,Apr 2019
2019,5,559008,262954,1614748,1140971,76858,5,May 2019
2019,6,556428,243064,1614390,1105772,73996,6,Jun 2019
2019,7,590218,263795,1638404,1105201,75222,7,Jul 2019
2019,8,554712,233967,1626715,1084193,65364,8,Aug 2019
2019,9,553841,244013,1635241,1079231,71595,9,Sep 2019
2019,10,603599,253981,1647268,1081155,75260,10,Oct 2019
2019,11,537988,223893,1624283,1050337,65959,11,Nov 2019
2019,12,532926,219170,1599438,1020585,60690,12,Dec 2019
2020,1,520806,290333,1538973,1059261,52635,1,Jan 2020
2020,2,519464,257463,1523498,1080576,61671,2,Feb 2020
2020,3,495902,276077,1482147,1125400,79073,3,Mar 2020
2020,4,404801,305550,1337194,1142202,59659,4,Apr 2020
2020,5,391594,235574,1197913,1132010,45676,5,May 2020
2020,6,458906,280449,1193230,1171515,55770,6,Jun 2020
2020,7,423282,257510,1208498,1203920,55288,7,Jul 2020
2020,8,403853,225844,1214680,1229398,50130,8,Aug 2020
2020,9,467724,237278,1243927,1248522,55790,9,Sep 2020
2020,10,477611,256580,1295296,1269091,59884,10,Oct 2020
2020,11,424175,212271,1300528,1232251,53721,11,Nov 2020
2020,12,450152,209267,1293790,1185842,50422,12,Dec 2020
2021,1,478956,262932,1307039,1189222,46220,1,Jan 2021
2021,2,456103,257319,1335529,1217354,55284,2,Feb 2021
2021,3,497838,293463,1374435,1273271,76703,3,Mar 2021
2021,4,466047,318065,1341350,1297407,64693,4,Apr 2021
2021,5,424218,219243,1309546,1260269,54670,5,May 2021
2021,6,498723,238813,1334585,1225330,59298,6,Jun 2021
2021,7,474757,232704,1342115,1194521,53320,7,Jul 2021
2021,8,451461,230689,1364625,1201904,50745,8,Aug 2021
2021,9,508743,235207,1390191,1205631,56150,9,Sep 2021
2021,10,526144,246595,1430987,1218128,55959,10,Oct 2021
2021,11,482420,228226,1455575,1207268,55155,11,Nov 2021
2021,12,507642,209710,1461979,1170541,50036,12,Dec 2021
2022,1,544704,274391,1489269,1196012,46921,1,Jan 2022
2022,2,501626,246785,1507786,1215203,53780,2,Feb 2022
2022,3,539829,280114,1536141,1254297,70441,3,Mar 2022
2022,4,518703,304479,1494855,1264344,59306,4,Apr 2022
2022,5,487878,247671,1481818,1257937,55585,5,May 2022
2022,6,548173,243412,1506744,1229798,58387,6,Jun 2022
2022,7,529856,222287,1512680,1188790,51613,7,Jul 2022
2022,8,510443,232066,1535305,1183102,50967,8,Aug 2022
2022,9,550179,228750,1552062,1170187,54102,9,Sep 2022
2022,10,559505,227627,1569640,1161068,53705,10,Oct 2022
2022,11,516787,212007,1573434,1129874,51398,11,Nov 2022
2022,12,523537,195148,1550767,1080806,46223,12,Dec 2022
2023,1,555920,262604,1555886,1111786,42931,1,Jan 2023
2023,2,538054,254650,1577525,1158428,54890,2,Feb 2023
2023,3,535197,268039,1578387,1201705,71419,3,Mar 2023
2023,4,511456,293402,1515438,1210472,57853,4,Apr 2023
2023,5,505282,244680,1491157,1211996,54895,5,May 2023
2023,6,538086,231808,1505524,1192245,55370,6,Jun 2023
2023,7,513087,221960,1504573,1169161,50206,7,Jul 2023
2023,8,514249,226635,1515037,1171452,48901,8,Aug 2023
2023,9,530681,225985,1520463,1168009,52976,9,Sep 2023
2023,10,547326,238106,1543016,1175279,55110,10,Oct 2023
2023,11,498571,209474,1527201,1145846,50586,11,Nov 2023
2023,12,510334,197408,1512668,1107047,46893,12,Dec 2023
2024,1,541181,262176,1512236,1138289,42198,1,Jan 2024
2024,2,528671,245786,1544015,1177812,54962,2,Feb 2024
2024,3,505074,241551,1529049,1191097,63228,3,Mar 2024
2024,4,501950,301831,1476907,1220365,56359,4,Apr 2024
2024,5,509524,244288,1463571,1227498,53674,5,May 2024
2024,6,490577,209652,1454168,1193157,49176,6,Jun 2024
2024,7,520223,227962,1476643,1178406,49611,7,Jul 2024
2024,8,496144,203043,1466434,1154641,42801,8,Aug 2024
2024,9,495950,216099,1474802,1149921,46846,9,Sep 2024
2024,10,556199,233444,1512401,1158263,51816,10,Oct 2024
2024,11,NA,NA,NA,NA,NA,11,Nov 2024
2024,12,NA,NA,NA,NA,NA,12,Dec 2024
