Vac,See,Hir,Q,Year
4307003,4026505,282287,3,2015
4387419,3832997,270057,4,2015
4571153,3912118,295035,1,2016
4412120,4006796,295690,2,2016
4512978,3730905,264360,3,2016
4630903,3540654,251634,4,2016
4837728,3656878,277286,1,2017
4723492,3748799,280050,2,2017
4841937,3501657,250261,3,2017
5006344,3345625,241816,4,2017
5095751,3400372,254484,1,2018
4963828,3532530,262482,2,2018
4993107,3276883,226380,3,2018
5085084,3201191,225646,4,2018
5125448,3280221,233436,1,2019
4886968,3407396,234237,2,2019
4900360,3268625,212181,3,2019
4870989,3152077,201909,4,2019
4544618,3265237,193379,1,2020
3728337,3445727,161105,2,2020
3667105,3681840,161208,3,2020
3889614,3687184,164027,4,2020
4017003,3679847,178207,1,2021
3985481,3783006,178661,2,2021
4096931,3602056,160215,3,2021
4348541,3595937,161150,4,2021
4533196,3665512,171142,1,2022
4483417,3752079,173278,2,2022
4600047,3542079,156682,3,2022
4693841,3371748,151326,4,2022
4711798,3471919,169240,1,2023
4512119,3614713,168118,2,2023
4540073,3508622,152083,3,2023
4582885,3428172,152589,4,2023
4585300,3507198,160388,1,2024
4394646,3641020,159209,2,2024
4417879,3482968,139258,3,2024
NA,NA,NA,4,2024
